cluster_id,complaint_count,pending_ratio,high_priority_ratio,medium_or_high_ratio,avg_density_score,risk_score,risk_level,dominant_category,center_lat,center_lng
87,17,0.5294117647058824,0.058823529411764705,0.5294117647058824,0.00046509032536470586,0.3178330949536753,MEDIUM,Water Supply,40.68455769519296,-73.99503674625268
12,102,0.29411764705882354,0.10784313725490197,0.29411764705882354,0.3240861194748012,0.3061050360252146,MEDIUM,Pothole,40.736178305607076,-73.90260132327528
7,22,0.5,0.0,0.5,0.004203097987477331,0.3016812391949909,MEDIUM,Waste,40.829052430108874,-73.92587528161783
86,8,0.5,0.0,0.5,0.0007990727496938624,0.3003196290998775,MEDIUM,Drainage,40.71711009437699,-73.83741540064025
94,10,0.5,0.0,0.5,0.0004879119097523,0.3001951647639009,MEDIUM,Pothole,40.603823106722224,-73.97171684995297
57,12,0.5,0.0,0.5,0.00042677451453294163,0.3001707098058132,MEDIUM,Drainage,40.61006307786926,-73.94103405766627
97,2,0.5,0.0,0.5,0.00040875105750235,0.30016350042300094,MEDIUM,Water Supply,40.70478032060142,-73.80038280773556
20,112,0.4642857142857143,0.10714285714285714,0.4642857142857143,0.052660623219266345,0.29963567785913514,LOW,Pothole,40.68754353272538,-73.83702037423727
73,17,0.47058823529411764,0.0,0.47058823529411764,0.0008283199331411001,0.282684269149727,LOW,Water Supply,40.596026851840435,-73.98391595218527
24,69,0.4057971014492754,0.08695652173913043,0.4057971014492754,0.07326890441626879,0.27278582263607276,LOW,Pothole,40.68296102265657,-73.86648080531617
31,31,0.45161290322580644,0.3225806451612903,0.45161290322580644,0.0017184221200416295,0.27165511078350046,LOW,Streetlight,40.76010843480931,-73.8306689408156
62,29,0.4482758620689655,0.0,0.4482758620689655,0.0008537260977359208,0.26930700768047366,LOW,Pothole,40.65041515343015,-73.91022853310254
84,25,0.2,0.0,0.2,0.3602939797039999,0.2641175918816,LOW,Water Supply,40.66135852467523,-73.91857148509482
83,16,0.4375,0.0,0.4375,0.001704289540410175,0.2631817158161641,LOW,Pothole,40.72634392844104,-73.84860290762651
72,16,0.4375,0.0625,0.4375,0.0013119516055209563,0.26302478064220836,LOW,Pothole,40.71236606826566,-73.82841908681323
26,23,0.43478260869565216,0.13043478260869565,0.43478260869565216,0.001327547418949126,0.2614005841849709,LOW,Waste,40.67932412636151,-73.89295731101964
4,69,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.18995969533216553,0.25859257378504014,LOW,Pothole,40.73147426108794,-73.87262606671972
85,14,0.42857142857142855,0.07142857142857142,0.42857142857142855,0.0010819470552233784,0.2575756359649465,LOW,Pothole,40.70784526817884,-73.87367639153977
71,14,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.0007999317553669926,0.2574628298450039,LOW,Pothole,40.773724344629905,-73.93216359063811
82,14,0.42857142857142855,0.0,0.42857142857142855,0.0007109906531649285,0.2574272534041231,LOW,Pothole,40.752087702373494,-73.78389565052343
59,10,0.4,0.0,0.4,0.026570877775431156,0.25062835111017245,LOW,Water Supply,40.594157601063046,-73.75408458285712
